Name,Address,City,State,Zipcode,Bandwitdh ( DIA or Broadband) Prediction,Direct or Wholesale Prediction,DQE ICP Focus,Provider And Connectivity,Website,Phone,LinkedIn Url,No Of Employees,Est Telco Spend,Entity Employee count,Entity Telco Spend,Location Type,Competitive Rating,canon_name,addr_zip_key,Network Build Status,Building Connection Status,Building Category,Access Medium,Install Interval,Supplier Name,Global Location ID,Custom Pricing Zone,Simple Status,Structure Status,Structure Type,Alternate Address,No IPL,Vanity Name,Building Management Company,Dist to Fiber Term Pt,Total Costs,Address Feedback,Country,Founded,API_EntityName,API_Website,API_Phone,API_LinkedIn,API_NoOfEmployees,API_MonthlyNetworkSpend,API_Revenue,API_Industry,API_FoundedYear,API_LocationType,API_LocationCount,DQE_Site_Distance,DQE_Connection_Status,DQE_Access_Medium,DQE_Network_Status,SITE_All_Competitors,API_Additional_Tenants
CAMPUS INFORMATION AND VISITOR CENTER,716 Mellon Bank Ctr,Pittsburgh,Pennsylvania,15258,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.wisc.edu,412-234-5000,https://www.linkedin.com/company/university-of-wisconsin-madison,600,19485,2489,204148.74,"Commercial Building,School/University",Green,campus information and visitor center,716 mellon bank ctr|15258,Not Connected,Near Net,"School/University,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2F39F+WRVBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,CAMPUS INFORMATION AND VISITOR CENTER,https://www.wisc.edu,608-263-1209,https://www.linkedin.com/company/university-of-wisconsin-madison,2489,202139.88,13016000000,All Other Miscellaneous Schools and Instruction,1848,N/A,380,606,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, FIRSTLIGHT, LUMOS NETWORKS, SEGRA, STATE COLLEGE INTERNET, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO",N/A
Colorado Acute Long Term Care Hospital,2380 McGinley Rd,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.lifecarehealthpartners.com,(412) 856-2400,https://www.linkedin.com/company/lifecare-hospitals-,300,19485,3459,81867.5,"Commercial Building,Health Care",Green,colorado acute long term care hospital,2380 mcginley rd|15146,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US87G2C7F3+WJ8BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1992,Colorado Acute Long Term Care Hospital,https://www.lifecarehealthpartners.com,,https://www.linkedin.com/company/lifecare-hospitals-,3459,81867.50,1000000000,Offices of Physicians (except Mental Health Specialists),1984,N/A,66,711,OnNet,Fiber,Connected,"AT&T, Beyond Reach, CNI, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, FIRSTLIGHT, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, SEGRA, SPOKE - AT&T, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZAYO","Encompass Health, Recovery Centers Of America Westminster, Select Specialty Hospital"
Alorica,5 Penn Ctr W,Pittsburgh,Pennsylvania,15276,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.alorica.com,412-249-5300,https://www.linkedin.com/company/alorica,563,18301,8068,389860.5,Commercial Building,Red,alorica,5 penn ctr w|15276,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXFXW9+366BS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,manual,US,1999,Alorica,https://www.alorica.com,949-527-4600,https://www.linkedin.com/company/alorica,6662,193773.50,1010000000,"All Other Professional, Scientific, and Technical Services",1999,N/A,303,0,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, LUMOS NETWORKS, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZAYO","Nvr Mortgage, Ronald Mcdonald House Charities Of San Antonio Texas, Cimarex Energy Co, Cabot Oil & Gas, Blink Health"
Ronald Mcdonald House Charities Of San Antonio Texas,5 Penn Ctr W,Pittsburgh,Pennsylvania,15276,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.rmhcsanantonio.org,412-249-5300,https://www.linkedin.com/company/ronald-mcdonald-house-charities-of-san-antonio,563,18301,40637,1658765,Commercial Building,Red,ronald mcdonald house charities of san antonio texas,5 penn ctr w|15276,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXFXW9+366BS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,manual,US,1985,Ronald Mcdonald House Charities Of San Antonio Texas,http://www.rmhcsanantonio.org,210-614-2554,https://www.linkedin.com/company/ronald-mcdonald-house-charities-of-san-antonio,40637,1658765.00,1000000000,"All Other Professional, Scientific, and Technical Services",1985,N/A,78,0,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, LUMOS NETWORKS, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZAYO","Nvr Mortgage, Alorica, Cimarex Energy Co, Cabot Oil & Gas, Blink Health"
Valassis Communications,20 Summit Park Dr,Pittsburgh,Pennsylvania,15275,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://valassis.com,412-787-7900,https://www.linkedin.com/company/valassis,249,16221,2303,133215.5,Commercial Building,Green,valassis communications,20 summit park dr|15275,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GXFR24+MCVBS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,Valassis Communications,http://valassis.com,734-591-3000,https://www.linkedin.com/company/valassis,2303,133343.00,2160000000,Advertising Agencies,1957,N/A,97,390,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, IPC, MEGAPORT, MOMENTUM TELECOM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE",Advo
Nilco,1 Chicago Ave,Elizabeth,Pennsylvania,15037,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.nilco.net,412-384-3900,https://www.linkedin.com/company/nilco,235,15325,465,33480,Commercial Building,Green,nilco,1 chicago ave|15037,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G274H9+78PBS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1909,Nilco,https://www.nilco.net,412-384-3900,https://www.linkedin.com/company/nilco,465,31525.00,75000000,General Warehousing and Storage,1909,N/A,21,1664,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, LUMOS NETWORKS, PHOENIX TOWER INTERNATIONAL, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZAYO",DISH NETWORK
Alighten,1 Oxford Ctr,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://alight.com,,https://www.linkedin.com/company/alightsolutions,453,14781,1054,44483,"Commercial Building,Health Care",Red,alighten,1 oxford ctr|15219,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US86GXGX5F+465BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,Alighten,https://alight.com,818-772-8758,https://www.linkedin.com/company/alightsolutions,1054,44348.00,25000000,Insurance Agencies and Brokerages,1999,N/A,70,1834,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, DQE COMMUNICATIONS, FIDIUM, KINBER, MOMENTUM TELECOM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Cliffs Natural Resources, Securities America, Union Real Estate Company, Oxford Realty Services, Sarah Scaife Foundation, Sentrana, Prc Acquisition, Nimick Forbesway Foundation, Mitsubishi Corporation (Americas), Wealth Enhancement Group, Westinghouse Electric Company, Blackrock, Pietragallo Gordon Alfano Bosick And Raspanti Llp, Oxford Development Company, Jd Palatine, STALEY CAPITAL ADVISORS, Congregate Management Svcs, Three Rivers Capital, Leadership Choice, Hanson Aggregates Pa, Kaufman And Kaufman, Quartet Gp, National Bank Of Canada, Caileigh Lynn Mcdwell Fndation, Boston Residences, Buchanan Ingersoll Llp, Morgan Lewis And Bockius Llp, KeyBank, Cambria County Court House, Tristate Capital Bank, Clark Hill Plc, City Heat, Holliday Fenoglio Fowler Lp, Millcreek Capital Advisors, Main St Capitl Holdings, Software Development, SWENSEN PERER & KONTOS, Slot Empire"
WALMART,30 Trinity Point Dr,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.walmart.com,724-229-4022,https://www.linkedin.com/company/walmart,600,14685,3249648,23305778.95,"Commercial Building,Health Care",Green,walmart,30 trinity point dr|15301,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US86GX5QMH+388BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1962,WALMART,https://www.walmart.com,,https://www.linkedin.com/company/walmart,1013285,27430536.38,478614000000,Pet and Pet Supplies Retailers,1997,N/A,13650,1045,OnNet,Fiber,Connected,"ALTICE USA, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FRONTIER COMMUNICATIONS, KINBER, LUMOS NETWORKS, MOMENTUM TELECOM, PENTELEDATA, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Western Union, MoneyGram, Storage Post Lauderhill, FEDEX, Regis, Charleys Cheesesteaks, Minute Key, Coinstar Kiosk, Tnt Fireworks Supercenter, Rushmypassportcom, Picture Me Portrait Studios, Ecoatm, Keyme, Quicksilver Endeavors, Regal Nails, Jackson Hewitt, Acupuncture Chiropractic Center, RedBox"
Hatch,1600 W Carson St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.hatchearlylearning.com,412-809-6600,https://www.linkedin.com/company/hatch-early-learning,5417,13630,8001,180658,"Commercial Building,Health Care",Yellow,hatch,1600 w carson st|15219,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US86GXCXRH+RMMBS00,,,ConnectBase - Pending Estimate,Building - Property Owner,,,,,,,ok,,1984,Hatch,http://www.hatchearlylearning.com,617-267-6262,https://www.linkedin.com/company/hatch-early-learning,8001,180725.50,200000000,Engineering Services,1910,N/A,344,1316,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, LUMOS NETWORKS, PHOENIX TOWER INTERNATIONAL, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO","IRON MOUNTAIN INCORPORATED, General Supply And Services, Three Rivers Adoption Council, Langa Victoria M Md, Commonwealth Warehouse, Concentra, Killam Associates, Cigna Holding Company, Chester Engineers, Buncher Rail Car Svc Co, Rexel Active"
Advance Auto Parts,85 Tarentum Bridge Rd,New Kensington,Pennsylvania,15068,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.advanceautoparts.com,724-334-1860,https://www.linkedin.com/company/advance-auto-parts,499,12261,86449,3783153.32,Commercial Building,Green,advance auto parts,85 tarentum bridge rd|15068,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2H6QX+FG9BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,Advance Auto Parts,https://www.advanceautoparts.com,303-766-2036,https://www.linkedin.com/company/advance-auto-parts,87853,3748369.78,9737020000,General Warehousing and Storage,1932,N/A,7349,319,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, PHOENIX TOWER INTERNATIONAL, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZITO MEDIA",United Parcel Service of America
